Event Name,event_count,event_share_pct
af_content_view_product,172189,74.6823
af_add_to_cart,37223,16.1445
af_remove_from_cart,11950,5.183
af_add_to_wishlist,7599,3.2959
af_remove_from_wishlist,1507,0.6536
af_share,94,0.0408
