상품명,연결중심성,매개중심성,연결&매개 상위 10% 여부,ip포함여부
동원)어단백피쉬프로틴바닭가슴살70g,0.0225613802256138,0.002703567787956484,0,X
쿡인페이퍼)즉석신라면,0.026542800265428004,0.005159809523597883,0,X
삼립)프로H.곡물크림빵75g,0.021897810218978103,0.0005409495709026353,0,X
삼립)잭슨치즈버터꿀호떡90g,0.023224950232249502,0.001814543835318368,0,X
KBO)LG트윈스쌍둥이딸기샌드99g,0.013934970139349702,0.00018439454498442984,0,O
KBO)SSG랜더스소금버터우주선빵85g,0.013934970139349702,0.0001781672019438821,0,O
삼립)빚은제주우유대박찹쌀떡95g,0.030524220305242204,0.0044113175571832254,0,X
삼립)프로H.밀크카스테라95g,0.0185799601857996,0.0016529520791978734,0,X
삼양)맹구짱구85g,0.0371599203715992,0.006731540057507647,1,X
해태)생생감자칩스리라차마요맛55g,0.039814200398142006,0.0021387583075499874,0,X
PB)자이언츠돌아온팅클초코맛60g,0.046449900464499004,0.004357367898893483,1,O
PB)K리그슛!소보로빵75g,0.023224950232249502,0.0011523194359063834,0,O
해태)에이스샌드말차맛68g,0.07365627073656271,0.009115245597865232,1,X
선우)황금고구마칩60g,0.04844061048440611,0.0049430106466251044,1,X
G)잭슨스고구마칩할라피뇨28g,0.015262110152621102,0.00036095070747799683,0,X
롯데)소고기짬뽕밥삼각,0.0364963503649635,0.004516092089548442,1,X
PB)자이언츠쌔리라메이플볼60g,0.026542800265428004,0.0013271293082621777,0,O
PB)자이언츠쌔리라짱셔요소다믹스맛49g,0.029860650298606503,0.0015145327237629418,0,O
미스티)산리오딸기냠냠25g,0.006635700066357001,0.0002467565154344055,0,X
미스티)산리오초코냠냠25g,0.013934970139349702,0.0010389405346430132,0,X
크라운)산도밀크팝161g,0.0371599203715992,0.0005771993648195261,0,X
크라운)산도딸기(소)61g,0.028533510285335104,0.00040822859195927783,0,X
MDS)로제햄마카로니콘치즈255g,0.0159256801592568,0.001957984630826724,0,X
PB)촉촉크래미샐러드110g,0.029197080291970802,0.006774419749303116,0,O
해태)홈런볼말차딸기49g,0.043132050431320505,0.003840809193747207,1,X
롯데)치토스돌아온체스터쿵딸기55g,0.0537491705374917,0.004427098548170904,1,X
삼립)25년생생야채호빵(4입),0.0053085600530856005,0.00021803611326373602,0,X
부창제과)호두단팥호빵(3입),0.0033178500331785005,1.1796006757095753e-05,0,X
나무)드럼스틱모양젤리(바나나&블루베리)50g,0.035169210351692105,0.0008396238151026595,0,X
서주)불닭볶구미40g,0.038487060384870604,0.0019036702114012712,0,X
삼립)25년생생야채호빵(찜기낱개),0.0046449900464499,0.0005350590572911796,0,X
부창제과)호두단팥호빵(찜기낱개),0.0033178500331785005,8.102867084998381e-07,0,X
특판)슛더비라면,0.0006635700066357001,0.0,0,X
그린)뷔페한상 11찬도시락,0.029197080291970802,0.0017699317075241697,0,X
콕콕콕)스파게티김밥,0.029860650298606503,0.0014869846182514691,0,X
오뚜기)더핫열라면큰컵,0.029197080291970802,0.0022675971443542,0,X
매일)바나나는원래맛있다190ml,0.0112806901128069,0.0008096178221375176,0,X
삼립)마법의망고치즈케익70g,0.010617120106171201,0.001362114189730944,0,X
KBO)삼구삼진슈80g,0.013934970139349702,0.0008884593900535798,0,O
KBO)롯데자이언츠거인단팥빵100g,0.029860650298606503,0.0051712536161458884,0,O
일신)캇예스사우어구미75g,0.0378234903782349,0.0006415372888267067,0,X
몽뜨)푸르츠사워패치젤리40g,0.035169210351692105,0.0013917140092802622,0,X
부창제과)우유니소금크림호두단팥빵110g,0.0245520902455209,0.002089167555850833,0,X
오리온)뉴룽지카라멜크룽지맛70g,0.039150630391506305,0.005340578894417196,1,X
오리온)닥터유에너지바저당50g,0.0092899800928998,0.00029644341790800526,0,X
미성)해씨초콜릿 30g,0.012607830126078301,0.0013239635885636265,0,X
안유성)나폴리탄파스타230g,0.026542800265428004,0.0044228122057119006,0,X
롯데)최강록의간장들기름비빔밥,0.014598540145985401,0.002700859659471326,0,X
풀무원)동물복지촉촉란2구(떡볶이소스)105g,0.0205706702057067,0.003224222425767236,0,X
고래사)닭가슴살치즈바80g,0.0325149303251493,0.0028448545506781307,0,X
삼립)옥고감샌드,0.015262110152621102,0.0002474172064029095,0,X
맛제일)스팸마요계란볶음밥,0.039150630391506305,0.003647056039974427,1,X
해태)구운버터옥수수60g,0.054412740544127404,0.004537397630692428,1,X
오리온)꼬북칩양념치킨맛68g,0.031187790311877902,0.0014330080437580013,0,X
삼립)프리미엄햄에그샌드,0.0092899800928998,0.0002451761540950834,0,X
롯데)유자치킨샌드,0.0185799601857996,0.0016456735035243661,0,X
해태)에이스샌드체다치즈맛204g,0.035169210351692105,0.0027564677707131173,0,X
훼밀리)포도무케루푸루푸루구미40g,0.055076310550763105,0.005052032966719306,1,X
해태)자가비핫트러플맛90g,0.047777040477770406,0.001542593883095171,0,X
스위트)부르봉그루터기초코비스킷66g,0.0245520902455209,0.004127494612343193,0,X
G)컨트리맘꿀고구마맛12입,0.051758460517584606,0.003697585820190999,1,X
롯데)가나쇼콜라케이크80g,0.0159256801592568,0.0013452110516868749,0,X
일신)캇예스레인보우75g,0.0318513603185136,0.0011507710635195703,0,X
아리)즉석참깨라면,0.011944260119442602,0.0067594214459892514,0,X
최강록의진심)지파이,0.0092899800928998,0.0011444897310393962,0,X
크라운)산도크림(소)61g,0.027206370272063702,0.01164289796576457,0,X
롯데)프리미엄가나밤카라멜68g,0.0404777704047777,0.0027218276942936864,0,X
7P)스트롱사와거봉500ml,0.009953550099535502,0.0006375305193246264,0,X
오뚜기)콘크림스프크리스피롤55g,0.0743198407431984,0.018226623459699002,1,X
오리온)코코망고알맹이67g,0.04445919044459191,0.001830568529988198,0,X
오리온)촉촉한초코칩16P,0.043132050431320505,0.0031142197953641414,0,X
롯데)찰떡파이고창꿀고구마250g,0.015262110152621102,9.2353932892511e-05,0,X
동서)오레오딸기100g,0.046449900464499004,0.006023665393334603,1,X
MZ)AFC야채크래커150g,0.019907100199071003,0.0012189514721336542,0,X
쿡인페이퍼)즉석열라면,0.0205706702057067,0.0011046515042174077,0,X
쿡인페이퍼)즉석삼양라면,0.011944260119442602,3.436107302098381e-05,0,X
매일)그릭드링크플레인190ml,0.006635700066357001,0.0001767717465217101,0,X
빙그레)요플레그릭마일드180g,0.017252820172528202,0.0018864722997040668,0,X
롯데)고기(肉)올인원도시락,0.0225613802256138,0.001135522255159912,0,X
롯데)깐부도시락(깐풍기&마파두부),0.0325149303251493,0.0020811530547081535,0,X
롯데)프리미엄가나사과피넛버터68g,0.046449900464499004,0.0033909271753882093,0,X
엠즈)제주에서온말차크림롤105g,0.0418049104180491,0.005801484123944687,1,X
PB)자이언츠피카츄냐냐71g,0.0497677504976775,0.008690902846055518,1,O
프레)캐치티니핑워터젤리복숭아맛110ml,0.013934970139349702,0.0008555723200856348,0,X
농심)먹태깡고추장마요60g,0.034505640345056404,0.004888386985995914,1,X
PB)오리지널후라이드닭껍질30g,0.0019907100199071,3.703033721475055e-06,0,O
삼립)타임핏리코타요거샐러드110g,0.014598540145985401,0.0015898915768623406,0,X
총동원)그릴리직화후랑크&제육도시락,0.023888520238885203,0.001180318584996162,0,X
롯데)제주흑돼지김밥,0.043132050431320505,0.0026415336665977307,0,X
오뚜기)콕콕콕땡초크림파스타,0.06436629064366291,0.014001849552245408,1,X
미스티)사브레초코버터쿠키80g,0.06702057067020571,0.006957255300247315,1,X
롯데)씨리얼초코컵89g,0.023224950232249502,0.00046159154880385866,0,X
그린)트윈샐러드샌드,0.017916390179163903,0.0015251488059269363,0,X
그린)전남친샌드,0.017916390179163903,0.0016218711881291572,0,X
쿡인페이퍼)즉석짜파게티,0.0165892501658925,0.00030343837442873347,0,X
행복담기)동의반숙란2입,0.035169210351692105,0.007501552355921371,1,X
마즈)트윅스솔티드카라멜50g,0.050431320504313204,0.00698575202853667,1,X
자이언츠)쌔리라마롱미니샌드65g,0.017252820172528202,0.001616588803824611,0,O
천하)구카누가필링크래커100g,0.029197080291970802,0.0005101726083703332,0,X
롯데)씨리얼초코42g,0.033178500331785,0.0006181746977970922,0,X
MQ)프링글스스윗어니언100g,0.0245520902455209,0.0014579806890266686,0,X
에스씨)이치미니쌀과자120g,0.023888520238885203,0.0005793846949654508,0,X
PB)허니바나나맛HBMchips72g,0.0457863304578633,0.004825164004123287,1,O
CJ)오마이갓김치시즈닝팝콘80g,0.0053085600530856005,1.3436529612960017e-05,0,X
롯데)듬뿍참치유부초밥,0.019907100199071003,0.004160383851656901,0,X
롯데)소고기전주비빔삼각김밥,0.015262110152621102,0.003143595234384143,0,X
MDS)쫀득쫀똑(고구마)60g,0.027869940278699403,0.003673907520148591,0,X
그린)명란마요유부초밥,0.0378234903782349,0.0039116781209706806,1,X
롯데)사가지있는유부초밥,0.034505640345056404,0.004160414878421878,1,X
농심)감자탕큰사발면,0.0637027206370272,0.012581479141836894,1,X
엠즈)39저당초코크림롤105g,0.010617120106171201,0.0011500181396686463,0,X
엠즈)39저당커스터드크림롤105g,0.0072992700729927005,0.0009538359109705132,0,X
그린)춘천식닭갈비유부말이,0.034505640345056404,0.0014162685082892141,0,X
그린)울트라트리플치즈버거2,0.026542800265428004,0.0004236122201619157,0,X
그린)크랜베리치킨샌드,0.0325149303251493,0.0027301945971666716,0,X
삼립)미각아몬드초코브레드90g,0.027869940278699403,0.0009244138637833751,0,X
삼립)단팥호빵100g(1입),0.026542800265428004,0.0015228074888893614,0,X
남양)테이크핏몬스터고소한맛350ml,0.008626410086264101,0.0002179114864139047,0,X
삼립)시티델리직화그릴모짜렐라버거,0.0225613802256138,0.0008894768506592688,0,X
삼양)탱글머쉬룸크림파스타큰컵,0.023224950232249502,0.0025344600259249173,0,X
삼양)탱글청크토마토파스타큰컵,0.0185799601857996,0.0011914414147590996,0,X
해태)구운고구마27g,0.0378234903782349,0.0021756672119953094,0,X
오리온)찍먹예감치폴레마요소스76g,0.0789648307896483,0.01047456317394219,1,X
삼립)미각카이막꿀치즈케익100g,0.031187790311877902,0.003154104316297781,0,X
이정후)XXL페이버릿피자,0.019243530192435302,0.0014792265629868181,0,X
크라운)디샤미니마스코바도34g,0.013271400132714002,8.557782290114906e-05,0,X
해태)홈런볼메론우유맛49g,0.0710019907100199,0.0046487278375099625,1,X
엔제이)훈와리스팀케이크카스타드,0.030524220305242204,0.00500487316089723,0,X
엔제이)메이플시럽팬케익65g,0.014598540145985401,0.001102676692842292,0,X
프로엠)테디베어초코빼빼로띠지2입,0.0079628400796284,0.00011469127387837628,0,X
프로엠)테디베어아몬드빼빼로띠지2입,0.0072992700729927005,0.0012119794657896512,0,X
농심)신라면햄버거컵,0.0112806901128069,0.00046841653184218404,0,X
농심)신라면슈퍼스타컵,0.011944260119442602,0.00036737833785551545,0,X
청우)그랑쉘딸기97g,0.0537491705374917,0.001837827977439042,0,X
하리보)해리포터해리75g,0.043795620437956206,0.003307239959111213,0,X
PB)까르보나라파스타282.5g,0.0245520902455209,0.0027778067078324596,0,O
그린)반반김밥_양념&마늘치킨,0.017252820172528202,0.0017318096725385682,0,X
삼립)미각블루베리꽈베이글100g,0.009953550099535502,0.0014688084663755205,0,X
삼립)25년듬뿍피자호빵(찜기낱개),0.009953550099535502,0.0018194763388825214,0,X
삼립)오븐구운생크림도넛200g(5입),0.006635700066357001,0.0003112766770678493,0,X
롯데)흑돼지고추장불고기도시락,0.0165892501658925,0.0007434613026219514,0,X
이정후)고기폭탄홈런비빔밥,0.021897810218978103,0.0015587524447824457,0,X
훼밀리)사과무케루푸루푸루구미40g,0.0457863304578633,0.0014436166216993194,0,X
위스트)미스터브라우니벨지안초코칩,0.023888520238885203,0.0014942874854729552,0,X
글로브)도토리젤리15g,0.0165892501658925,0.0006695701694900161,0,X
오리온)마켓오크림치즈브라우니12P,0.0743198407431984,0.007982513644481777,1,X
MQ)프링글스캐리비안식치킨맛100g,0.030524220305242204,0.000662301707938577,0,X
롯데)맛장우삼각더커진비빔참치,0.017252820172528202,0.006104585135284762,0,X
롯데)베스트콤보샌드,0.0013271400132714001,1.1702729403762539e-05,0,X
투데이)엄지닭라면스낵20g(낱개),0.010617120106171201,0.003332798171057204,0,X
PB)티처스누네띠네딥초코55g,0.0497677504976775,0.005461662651266602,1,O
그린)이건못참치~!삼각,0.0053085600530856005,6.385796463443058e-05,0,X
롯데)미노리키친갓돼지삼각,0.015262110152621102,0.0009967639735522396,0,X
동서)리츠바삭김73g,0.06038487060384871,0.003987899533932315,1,X
매크로)레옹사우어비타민C자몽젤리80g,0.017252820172528202,5.361812422076224e-05,0,X
유앤)드럼스틱젤리(두가지맛믹스)80g,0.031187790311877902,0.0007367294073011702,0,X
농심)마라짜파게티큰사발,0.011944260119442602,0.00048791821052239666,0,X
키다리)진실의미간대파육개장큰컵,0.019907100199071003,0.0017303599453077966,0,X
요즘)오!그래놀라저당그릭요거트115g,0.0371599203715992,0.005807767073057426,1,X
푸드빌)제주에서온말차크림빵110g,0.021897810218978103,0.0029473559143921866,0,X
한도초과)몬스터3단치킨버거,0.027869940278699403,0.0004992962855117145,0,O
오리온)스윙칩고수타코맛50g,0.06038487060384871,0.003688551948213692,1,X
오리온)꼬북칩후라이드치킨맛76g,0.023888520238885203,0.0001781550534815952,0,X
이장우)오일스타알리오올리오,0.021234240212342402,0.0020973389617199474,0,X
동원)양반현미밥130g,0.019907100199071003,0.0020028458809140705,0,X
벨리)제주에서온말차크림도넛100g,0.026542800265428004,0.002487792294638774,0,X
부창제과)우유니소금크림맘모롤95g,0.033178500331785,0.0070014901968213205,0,X
오리온)초코송이말차45g,0.023888520238885203,0.002370389048616647,0,X
오뚜기)뿌셔뿌셔불고기맛팝콘40g,0.017916390179163903,0.00033927217474820256,0,X
에이스)경주빵32g,0.010617120106171201,0.00039518742130519215,0,X
삼립)바나나블루베리샌드,0.013271400132714002,0.0018625052780223,0,X
롯데)닭강정김밥,0.0092899800928998,0.0016004966110531827,0,X
해태)생생감자칩바질페스토피자맛55g,0.0617120106171201,0.007236891789351615,1,X
PKJ)양파에빠진메밀칩100g,0.0159256801592568,0.0005608483202444969,0,X
MDS)젤리블리제로납작복숭아60g,0.031187790311877902,0.0031140430057419715,0,X
PB)바밤바알밤초콜릿16g,0.038487060384870604,0.0035460864645331176,0,O
투데이)엄지닭스낵불닭맛20g(낱개),0.012607830126078301,0.00035825457238828755,0,X
PB)직화불막창180g,0.013934970139349702,0.002647322276455407,0,O
오뚜기)WOW고기열라면컵,0.029860650298606503,0.003406740766799293,0,X
롯데)한입쏙!들기름김밥,0.026542800265428004,0.004861523448035878,0,X
롯데)티처스햄치즈에그팡팡토스트,0.021897810218978103,0.0020405439162379316,0,X
쿡인페이퍼)즉석오징어짬뽕,0.017252820172528202,0.0020782293298405308,0,X
롯데)이너프토스티드브레드45g,0.0092899800928998,0.0006993707781781436,0,X
삼립)빅패스츄리110g,0.026542800265428004,0.0007504088862072899,0,X
PB)분홍분홍딸기우유500ml,0.025215660252156602,0.0032897145598809407,0,O
오뚜기)고단백컵누들마라샹궈,0.027206370272063702,0.0037273312613504543,0,X
투데이)스위즐스드럼스틱오리지널라즈베리&밀크100g,0.023224950232249502,0.00037307297735315577,0,X
그린)울진대게장유부초밥,0.026542800265428004,0.0028428689949923725,0,X
삼진)1953어묵순살바80g(야채맛),0.017916390179163903,0.0015668124303734325,0,X
삼진)1953어묵순살바80g(오징어맛),0.011944260119442602,0.0007853727930335721,0,X
아리)즉석맵탱마늘조개라면,0.0053085600530856005,0.0002121412113831397,0,X
아리)진라면약간매운맛,0.0013271400132714001,0.0,0,X
롯데)이너프베이크드쿠키크랜베리43g,0.019243530192435302,0.001246743594846669,0,X
PB)노랑노랑바나나우유500ml,0.019243530192435302,0.000896363336308766,0,O
고운벗)사우어워즈로프구미레몬21g,0.017252820172528202,0.00037706918843013863,0,X
드림)젤리밤50g,0.029860650298606503,0.0006832738788055444,0,X
삼립)베리스윗패스츄리100g,0.012607830126078301,0.0016397304521009388,0,X
KBO)삼성라이온즈블루베리패스츄리100g,0.013271400132714002,0.00021143852114540815,0,O
삼립)뽀득소시지에그샌드,0.0338420703384207,0.0029999817012303876,0,X
그린)치킨마요듬뿍김밥 ,0.0205706702057067,0.0007659923303334089,0,X
오리온)초코송이딸기45g,0.0577305905773059,0.0051859720455806725,1,X
롯데)가나프리미엄랑드샤말차쇼콜라91g,0.0245520902455209,0.0004571222596870934,0,X
해태)팥붕슈붕젤리60g,0.0225613802256138,0.00022791559686860543,0,X
삼립)잘익은흑임자이야기110g,0.028533510285335104,0.0032892013677336203,0,X
롯데)꿀고구마납짝호떡92g,0.0378234903782349,0.00274719400793808,0,X
PB)장충동고기순대300g,0.010617120106171201,0.0017673536536729703,0,O
"롯데)3,900나시고랭볶음밥",0.029860650298606503,0.003192393951218911,0,X
글로브)달콤바삭보리과자84g,0.0112806901128069,0.0006394991311079555,0,X
오리온)과일꿀꺽왕꿈틀이75g,0.0364963503649635,0.0015684748180295758,0,X
해태)허니버터칩캐슬갈릭브레드맛,0.0537491705374917,0.004927522197362205,1,X
MQ)프링글스한국식닭강정맛100g,0.034505640345056404,0.0009353660339819119,0,X
삼립)누네띠네딥초코120g,0.029197080291970802,0.0003855827786956942,0,X
농심)메론킥60g,0.051094890510948905,0.007625975792974337,1,X
한도초과)숯불향가득불고기김밥,0.017252820172528202,0.0021231123327180783,0,O
삼립)고구마생크림팬케익60g,0.0092899800928998,0.0017811097438218456,0,X
삼립)초당옥수수미니꿀약과70g,0.039814200398142006,0.007241761297860145,1,X
서울)비요뜨쿠키앤크림131g,0.046449900464499004,0.012645530810587752,1,X
하늘)크랜베리베이글칩60g,0.0079628400796284,0.00019929734044112093,0,X
이정후)더블클래식버거,0.0185799601857996,0.0014988213522208569,0,X
그린)쉬포쉬포버거,0.0245520902455209,0.0017554542589439577,0,X
유앤)스웨디시스타일젤리(올믹스드업)120g,0.0325149303251493,0.0006248390805320569,0,X
비달)스트로베리위드크림젤리 75g,0.0338420703384207,0.0009840320429914233,0,X
PB)K리그슛!크림빵105g,0.023224950232249502,0.0006545110866856852,0,O
PB)K리그슛!팅클별매콤달콤60g,0.017252820172528202,0.0008948255409406394,0,O
PB)바밤바꿀밤생크림빵120g,0.014598540145985401,0.003193206307304351,0,O
해태)구운양파명랑핫도그맛110g,0.039150630391506305,0.0012692150727347483,0,X
롯데)7찬도시락,0.013271400132714002,0.0018910002091096928,0,X
그린)제일맛집도시락,0.013934970139349702,0.0008017599084040209,0,X
롯데)이너프홀그레인큐브케이크60g,0.0079628400796284,7.517399516077012e-05,0,X
삼립)녹차담은초코꾸덕파이70g,0.021234240212342402,0.0012684620566234522,0,X
이스타)도쿠시마라면큰컵,0.029197080291970802,0.005123770244719245,0,O
농심)신라면스파이시퀸컵,0.008626410086264101,0.0002732013045720915,0,X
PB)장충동쫄깃한족발265g,0.011944260119442602,0.0010221819277048043,0,O
현대)맛다시참치마요에그말이,0.0245520902455209,0.001061958588136372,0,X
삼립)카이막꿀크림카스테라95g,0.025215660252156602,0.0045847530898304005,0,X
롯데)맛장우김밥참치크래미,0.0112806901128069,0.0010557161207410898,0,X
시원)치즈아몬드스낵80g,0.0159256801592568,0.0004925845889549467,0,X
MDS)젤리블리제로애플망고60g,0.026542800265428004,0.0018370531605165085,0,X
구르메)FAGE무지방그릭요거트허니150g,0.0112806901128069,0.0007845109311939259,0,X
롯데)리얼소프트햄샌드,0.0072992700729927005,0.00023551992509722358,0,X
삼립)로만밀포테이토햄샌드,0.013271400132714002,0.001096133550574352,0,X
고운벗)스노우생초코레트오리지널32g,0.0338420703384207,0.008305541784669274,1,X
서울)말차에스프레소200ml,0.0205706702057067,0.0032324139632617373,0,X
몽뜨)타르트젤리35g,0.0205706702057067,0.002390137881552054,0,X
PB)촉촉한초코칩쿠키230g,0.0325149303251493,0.0015767128749383712,0,O
PB)인절미스낵56g,0.027206370272063702,0.0008296226743863056,0,O
해태)자가비사워크림맛45g,0.0617120106171201,0.0077203387593765774,1,X
★몽뜨)하트베어,0.0013271400132714001,7.343625571444223e-07,0,X
★여리수)초코하우스(중),0.0033178500331785005,0.0012442587060723697,0,X
청정)오늘은오징어120g,0.0033178500331785005,8.450214255507729e-05,0,X
오리온)딸기송이50g(봄한정),0.0245520902455209,0.0009044306626178493,0,X
에이스)샤인머스켓젤리64g,0.0245520902455209,0.0002548202677951131,0,X
초코텍)초코멜로볼50g,0.017252820172528202,0.0003352032534374031,0,X
미스티)사브레버터쿠키80g,0.0809555408095554,0.013007455149836134,1,X
농심)누들핏마라탄탄,0.027206370272063702,0.002119866862425809,0,X
PB)버터쿠키230g,0.030524220305242204,0.0010891274144521825,0,O
해태)에이스샌드우유크림51g,0.051758460517584606,0.004510071802003813,1,X
오리온)코코멜론알맹이81g,0.0364963503649635,0.0006772031122609437,0,X
농심)클레오파트라솔트앤김50g,0.055739880557398806,0.0045218943753835665,1,X
앙리마티스)와인볼쇼비뇽블랑500ml캔,0.023888520238885203,0.0026227102280561394,0,X
PB)직화뼈없는불닭발200g,0.013934970139349702,0.0030115048732920484,0,O
PB)이봉원의봉짬뽕224g,0.014598540145985401,0.0014118132309499751,0,O
오리온)초코칩쿠키제주말차라떼104g,0.010617120106171201,0.00033324687941813737,0,X
총동원)통그릴참치핫도그,0.025215660252156602,0.003643617760520586,0,X
한도초과)고민할필요없는도시락,0.0245520902455209,0.003713842655971905,0,O
드림)훈와리군고구마27g,0.026542800265428004,0.002600321184071722,0,X
피치)트위젤바나나모양젤리50g,0.025879230258792303,0.001984300298227557,0,X
훈스)후랑크소시지빵150g,0.013271400132714002,0.0005846698883329877,0,X
롯데)더블치킨버거,0.027869940278699403,0.0016926845869825995,0,X
대림)안심닭가슴살(마일드)100g,0.015262110152621102,0.0016387388745350369,0,X
대림)스노우크랩킹140g ,0.0225613802256138,0.002209416869784794,0,X
롯데)NEW갈비맛닭강정,0.019907100199071003,0.0023383075045922018,0,X
델토리)스웨디시스타일초코홀릭47g,0.014598540145985401,0.00017489207060830884,0,X
서주)마로마로레몬맛40g,0.047113470471134705,0.0018900908354826647,0,X
칠성)핫식스더프로파인애플355ml,0.0026542800265428003,0.00013301684361685648,0,X
칠성)핫식스더킹애플홀릭355ml,0.0033178500331785005,0.00021220300142119224,0,X
마즈)스키틀즈젤리(후르츠믹스),0.0630391506303915,0.004367497619023587,1,X
나무)점핑롱젤리80g,0.0165892501658925,0.0003569078867946651,0,X
그린)불닭콘치즈퐁듀삼각,0.017916390179163903,0.0014768388521966605,0,X
2산리오)인형키링기획,0.0053085600530856005,0.0027090949324175793,0,X
2산리오)키캡키링기획(쿠로미),0.0006635700066357001,0.0,0,X
그린)참치김치볶음밥김밥,0.0112806901128069,0.0018943351845624704,0,X
페르)앱솔루트라즈베리375ml,0.0013271400132714001,4.1642756161490186e-05,0,X
롯데)베이컨맥앤치즈버거,0.027869940278699403,0.0008586270276469842,0,X
G)슈가버터샌드트리10입,0.019907100199071003,0.0005651755620516087,0,X
농심)와사비새우깡70g,0.07365627073656271,0.008900667149980168,1,X
씨드)리얼닭가슴살칩오리지널30g,0.0033178500331785005,7.491716027062632e-05,0,X
삼립)NEW슈퍼슈프림치즈부리또120g,0.019243530192435302,0.00151904498987381,0,X
대림)스노우크랩킹버터갈릭140g ,0.0165892501658925,0.001980712416450774,0,X
PB)제트콘90g,0.035169210351692105,0.003652595292089501,1,O
세븐브로이)하이볼에빠진피치500ml캔,0.008626410086264101,4.535554807987119e-05,0,X
롯데)빈츠고창꿀고구마102g,0.030524220305242204,0.0008441413203353959,0,X
빙그레)닥터캡슐복숭아130ml,0.021897810218978103,0.0033721744175580306,0,X
서주)초코멜로젤리36g,0.012607830126078301,5.8458847457835666e-05,0,X
G)치로루초코솔티바닐라33g,0.05308560053085601,0.0030831592931316897,0,X
롯데)가나헤이즐넛케이크80g,0.0159256801592568,0.0015377016396094711,0,X
에이스)아리고스티나코코아헤이즐넛크림37g,0.010617120106171201,0.0003543865844256353,0,X
그린)더커진짜계치삼각김밥,0.0072992700729927005,0.0005722627374348856,0,X
롯데)미미미누숯불치킨판독기삼각,0.012607830126078301,0.0009954417796142487,0,X
삼립)개굴닌자밀키소다롤85g,0.008626410086264101,0.0007268416315812258,0,X
삼립)포켓피스화이트초코미니샌드76g,0.0053085600530856005,0.00014335972936631406,0,X
해태)생생감자칩랍스터맛85g,0.0325149303251493,0.0026472761520897996,0,X
그린)럭히밥떡볶이김밥,0.019243530192435302,0.003410624141439544,0,X
PB)K리그슛!꿀호떡빵97g,0.017916390179163903,0.0011804156385551916,0,O
