post_id,date,timestamp,title,body,likes,comments,url
3795707404810867530,2025-12-25,2025-12-25T23:00:04.000Z,#세븐신상,"이 가격에 이 퀄리티 실화냐
당장 쟁여야 하는 갓성비 감자칩-💗

짭쪼름하면서도 바삭함이 빠져들자낭~>_<
계속 생각나는 감자칩! 

오리지널과 사워크림&어니언맛
2가지 모두 즐겨보세요~! 

감자칩오리지널 110g🏷️1,600원
감자칩사워크림앤어니언 110g🏷️1,600원

#세븐일레븐 #감자칩오리지널",171,6,https://www.instagram.com/p/DStD8YvElNK/
3795828179223026004,2025-12-26,2025-12-26T03:00:02.000Z,#세븐신상,"❗편의점 단독❗
100% 리얼 코코넛이 가~득!🥥
프레시하고 달콤하게 마실 수 있는
✨신상 음료 차바코코넛워터✨

2+1 행사까지 진행하니
차바코코넛워터로 건강하게
수분 보충하세요💦

차바코코넛워터🏷️2,500원

📢1/1~1/31 1월 한 달 동안
2+1 행사 진행!
(*차바코코넛스무디와 교차 가능)

#세븐일레븐 #차바코코넛워터",154,3,https://www.instagram.com/p/DStfZ4rAZlU/
3796523139846080536,2025-12-27,2025-12-27T02:01:11.000Z,김선형의 KBL 오피셜 컬렉션 카드가 나올 때까지!⚡️,"✨KBL 오피셜 컬렉션 카드 출시✨
노멀, ID, 홀로, 오토, 슈퍼스타 카드까지!
더욱 다양해진 KBL 오피셜 컬렉션 카드를
전국 공식 판매처에서 만나보세요🙌

🛒 판매처: KBL스토어, 대원샵, 세븐일레븐, 아트박스 및 기타 온·오프라인 매장

#KBL #KBLTV #큽
#김선형 #KBL카드 #크블카드 #SCC",1004,17,https://www.instagram.com/p/DSv9a5ME4gY/
3793654039103745548,2025-12-24,2025-12-24T23:00:40.000Z,#EVENT,"품절대란 초코에 빠진 딸기 재입고!🍓🍫
모두가 💗달콤함에 퐁당 빠져버렸다구~

매끈매끈하고 뿅뿅한 비주얼에 한 입 깨물면
부드러운 초코와 바삭한 동결 건조 딸기가 
어우러지는 SNS인기템인 마성의 간식✨

패키지를 보기만 해도 이미 귀여움 과다🤍
오늘도 세븐일레븐에서 귀여움과 당 충전 완료!

🎁댓글로 🍓’매끈매끈’하고 ‘뿅뿅한’ 초코에 빠진 딸기 재입고 소식을 친구 태그하여 알려주세요!
추첨을 통해 세븐일레븐 모바일 상품권을 드립니다.
(@7elevenkorea 팔로우 필수!)

☑️일정: 12/25(목)~12/31(수)
☑️경품: 세븐일레븐 모바일 상품권 5,000원 권 / 10명
☑️당첨자 발표: 1/8(목)

🍓초코에빠진딸기 4,500원
→ 500원 할인행사! 🏷️4,000원(~1/31)

📢12/31(수)까지 딸기마크 전 상품 5천원 이상
카카오페이/머니, NH농협카드 결제 시 20% 할인!

#세븐일레븐 #HELLOSTRAWBERRY",1360,736,https://www.instagram.com/p/DSlxD-5gS4M/
3793653910112109800,2025-12-23,2025-12-23T03:00:09.000Z,#EVENT,"크리스마스에 계획 없다면 주목👀
꿀잠 음료 마시고 26일까지 코~자아😴

자기 전 코자아 오리지널 드링크
마시고 편안한 밤을 보내보세요🌃
✨12월 24일(수) 출시 예정✨

품절대란 제로슈가 음료 마시고
같이 코~잘 사람?🛌

🎁@__아, 요즘 잠 잘 못 잔다며?
댓글에 꿀잠을 선물하고 싶은 친구를 태그해주세요~!
추첨을 통해 세븐일레븐 모바일 상품권을 드립니다.
(@7elevenkorea 팔로우 필수!)

☑️일정: 12/23(화)~12/29(월)
☑️경품: 코자아 오리지널 드링크 6개입 1box / 10명
☑️당첨자 발표: 1/12(일)

📢12/24(수)~1/15(목) 출시 기념 최저가 이벤트!
코자아 오리지널 드링크🏷️6,500원→3,900원

#코자아오리지널드링크",-1,490,https://www.instagram.com/p/DSlxCGxAQTo/
3793533093807319602,2025-12-22,2025-12-22T23:00:06.000Z,#EVENT,"💗한국인 취향저격 3총사를 소개합니다💙
한국인이면 못 참는 제육&쏘야, 불고기,
치킨마요 모두 세븐일레븐에 모였다📢

🥄남녀노소 누구나 좋아하는 
고추장제육, 간장제육, 쏘야볶음이 쏙! 반반제육 & 쏘야도시락

🍔패티 3개로 든든한 포만감을 주는 
 메가불고기 버터갈릭버거 

👍 간단하게 즐기기 좋은데 
든든함까지 갖춘 치킨마요듬뿍김밥

🎁취향저격 3총사를 함께 즐길 친구를 태그해주세요. 
추첨을 통해 세븐일레븐 모바일 상품권을 드립니다.
(@7elevenkorea 팔로우 필수!)

☑️일정: 12/23(화)~12/29(월)
☑️경품: 세븐일레븐 모바일 상품권 5,000원 권 / 10명
☑️당첨자 발표: 1/8(목)

반반제육&쏘야도시락🏷️5,500원
메가불고기버터갈릭버거🏷️3,700원
치킨마요듬뿍김밥🏷️3,300원

#세븐일레븐 #반반제육쏘야도시락 #메가불고기버터갈릭버거 #치킨마요듬뿍김밥",824,763,https://www.instagram.com/p/DSlVj_0Euoy/
3798606530158426137,2025-12-29,2025-12-29T23:00:07.000Z,#EVENT,"쩝쩝박사 조합 로스트치킨과 미트볼이 만났다🤜🤛

간장 소스와 숯불구이 소스에 구워
입에 넣자마자 녹아버리는 로스트치킨과🍗
오므라이스 소스에 버무려진 미트볼의 조합🤎

표고버섯야채볶음과 마카로니콘샐러드, 볶음김치까지! 알찬 반찬으로 가~득 채운 5찬 도시락을
세븐일레븐에서 만나보세요💝

🎁로스트치킨&미트볼 도시락 출시가 기대된다면?
댓글로 5가지 반찬 중 원픽 반찬을 알려주세요!
추첨을 통해 세븐일레븐 모바일 상품권을 드립니다.
(@7elevenkorea 팔로우 필수!)

☑️일정: 12/30(화)~1/5(월)
☑️경품: 세븐일레븐 모바일 상품권 5,000원 권 / 10명
☑️당첨자 발표: 1/13(화)

로스트치킨&미트볼도시락🏷️5,500원

#세븐일레븐 #로스트치킨미트볼도시락",1141,1132,https://www.instagram.com/p/DS3XINnkngZ/
3789907084579094777,2025-12-17,2025-12-17T23:00:04.000Z,#세븐신상,"오렌지 모양 초콜릿을 톡! 깨트리면
20조각으로 쪼개진다고?🍊

영국에서 꾸준히 사랑받는
150년 전통 초콜릿🍫

바닥에 탁!치면
오렌지 조각으로 나뉘는 재미는 물론
상큼한 오렌지와 달콤한 초콜릿의 특별한 맛까지✨

한정 판매 중이니 놓치지 말고
세븐일레븐에서 겟하세요🏃‍➡️

테리스초콜릿🏷️9,000원

#세븐일레븐 #테리스초콜릿",693,15,https://www.instagram.com/p/DSYdGnkEsD5/
3790875540236399531,2025-12-19,2025-12-19T07:00:01.000Z,#세븐신상,"팝콘이 이렇게 귀여우면 반칙이징-!🐻
반박불가 귀여움 >_< 
곰돌이 보틀병 안에 달콤한 카라멜 팝콘이 가득~

감사, 응원, 사랑 메시지 3종이 있어 
연말연시 소중한 사람에게 선물하기 제격!🤎
혼자 크리스마스에 영화보며 기분내기도 딱~🎅

곰돌이보틀팝콘🏷️2,800원

#세븐일레븐 #곰돌이보틀팝콘",242,8,https://www.instagram.com/p/DSb5TgLgfOr/
3789303135353302230,2025-12-17,2025-12-17T03:00:05.000Z,#세븐신상,"주토피아 캐릭터 총집합🐰🦊
세븐일레븐X주토피아 신상

💛훈와리캬라멜
닉주디 한정판 패키지!
이건 절대 놓칠 수 없지( ›＿‹ )♡

🩷시크릿주토피아2
초코&화이트크림이 듬뿍 들어간 비스켓!
움직이는 캐릭터 완구와 스티커로 구성되어
주토피아 덕후들 취향 저격💘

❤️주토피아구슬젤리
내 최애 캐릭터 젤리도 있을까?🤔
말랑말랑 젤리를 한 입 물면 젤리가 쏘옥!

@@주토피아에 빠진 친구 태그하고
같이 세븐일레븐에서 신상 만나보자💗

훈와리캬라멜🏷️2,700원
시크릿주토피아2🏷️2,500원
주토피아구슬젤리🏷️5,800원

#세븐일레븐 #주토피아",236,8,https://www.instagram.com/p/DSWTyABAezW/
