     keyword  총등장수
Double 와인오프너     1
       데일리와인     4
       디저트와인     2
       레드 와인     2
        레드와인    55
        로제와인     2
         미트볼     4
           볼    17
        볼로네제     1
          볼살     1
         샐러드    86
      스파클링와인     4
          와인   272
        와인행사     1
         초코볼     1
        콘샐러드     1
       테이블와인     1
      파스타샐러드     1
        페트와인     1
        포트와인     1
       피자알볼로     2
         하이볼    93
         홈런볼     2
      화이트 와인     1
       화이트와인    52
