     keyword  총등장수
Double 와인오프너     1
        까베르네     1
     까베르네소비뇽     1
     까베르네쇼비뇽    12
       데일리와인     4
       디저트와인     2
       레드 와인     2
        레드와인    55
        로제와인     2
         소비뇽     9
       소비뇽블랑     5
       쇼비뇽블랑    12
      스파클링와인     4
          와인   272
        와인행사     1
     카베르네소비뇽     7
       테이블와인     1
        페트와인     1
        포트와인     1
      화이트 와인     1
       화이트와인    52
