keyword  총등장수
     감자    90
    감자칩     2
    감자탕     1
   감자튀김     1
     과자   359
    꼬북칩     1
    나쵸칩     1
   다크초코    13
   민트초코     2
    쌀과자     1
     썬칩     1
   전통과자     1
     초코   504
    초코바     3
    초코볼     1
    초코비     1
    초코빵     1
   초코우유     1
    초코칩     3
  초코케이크     1
   초코쿠키     1
      칩    23
  화이트초코     3
