     keyword  총등장수
Double 와인오프너     1
          거봉     2
         건포도     1
       데일리와인     4
       디저트와인     2
       레드 와인     2
        레드와인    55
        로제와인     2
         브랜디     1
      스파클링와인     4
          와인   272
        와인행사     1
         전통주    16
         청포도    11
       테이블와인     1
        페트와인     1
          포도    37
         포도알     1
        포트와인     1
      화이트 와인     1
       화이트와인    52
