keyword  총등장수
   감자튀김     1
     깐풍     2
    깐풍기     1
      닭   199
   닭가슴살    52
    닭갈비     6
    닭강정     6
    닭고기     3
    닭구이     1
    닭껍질     1
    닭꼬치     1
    닭다리     3
   닭다리살     6
     닭발     5
     불닭    44
   불닭소스     1
   양념치킨     2
     찜닭     3
     치킨   144
   치킨너겟     1
     통닭     3
     튀김    31
     파닭     1
