keyword  총등장수
   경기떡집     1
 공아이스크림     2
     꿀떡     1
      떡    80
    떡갈비     4
     떡국     1
     떡볶     1
    떡볶이    48
    떡볶퀸     2
     물떡     1
    빵또아     2
    시루떡     2
     쌀떡     1
  아이스크림   237
  악어떡볶이     1
     엽떡     1
   오메기떡     1
    이티떡     1
     찰떡     5
 콘아이스크림     6
    크림떡     1
튜브아이스크림     1
     호떡    13
