category_l,category_m,total_events,unique_products,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,cart_add_per_100_views,intent_actions_per_100_views,score_per_product
패션잡화,스타킹,156,16,68,187.0,122,21,8,5,0,17.2131,21.3115,11.6875
간식,냉장간식,133,3,82,162.5,95,11,4,20,2,11.5789,32.6316,54.1667
가정용품,주방용품,117,9,59,157.0,84,25,5,2,1,29.7619,32.1429,17.4444
음료,선물세트,106,6,39,148.0,69,26,6,4,1,37.6812,43.4783,24.6667
일용잡화,전기용품,112,6,31,137.0,93,15,3,1,0,16.129,17.2043,22.8333
문구/완구,노트/봉투,112,11,56,132.0,97,11,2,2,0,11.3402,13.4021,12.0
H&B,칫솔치약세트,116,7,62,128.0,104,9,3,0,0,8.6538,8.6538,18.2857
문구/완구,사무용품,65,7,24,91.0,46,13,1,4,1,28.2609,36.9565,13.0
H&B,여행용상품,75,3,34,90.0,56,11,4,3,1,19.6429,25.0,30.0
위생용품,기저귀,69,3,34,80.0,61,6,0,1,1,9.8361,11.4754,26.6667
패션잡화,양말,57,5,29,62.0,48,5,2,1,1,10.4167,12.5,12.4
전통주,선물세트,37,1,23,39.0,30,1,0,4,2,3.3333,16.6667,39.0
가정용품,살충제,24,8,17,34.0,19,5,0,0,0,26.3158,26.3158,4.25
가정용품,욕실용품,21,2,9,33.0,13,7,1,0,0,53.8462,53.8462,16.5
신선,쌀/잡곡,18,1,14,20.0,17,1,0,0,0,5.8824,5.8824,20.0
일용잡화,자동차용품,10,1,6,18.0,6,4,0,0,0,66.6667,66.6667,18.0
안주,기타,5,1,4,5.0,5,0,0,0,0,0.0,0.0,5.0
미용/화장품,남성화장품,3,1,1,5.0,2,1,0,0,0,50.0,50.0,5.0
