Event Name,event_count,event_share_pct
af_content_view_product,391714,75.7385
af_add_to_cart,85295,16.4919
af_remove_from_cart,18634,3.6029
af_add_to_wishlist,17027,3.2922
af_remove_from_wishlist,4211,0.8142
af_share,312,0.0603
