Event Name,event_count,event_share_pct
af_content_view_product,718128,78.6809
af_add_to_cart,126971,13.9114
af_add_to_wishlist,35905,3.9339
af_remove_from_cart,25018,2.7411
af_remove_from_wishlist,6177,0.6768
af_share,510,0.0559
