Event Name,event_count,event_share_pct
af_content_view_product,488555,77.9442
af_add_to_cart,93720,14.9521
af_add_to_wishlist,20829,3.3231
af_remove_from_cart,19159,3.0566
af_remove_from_wishlist,4244,0.6771
af_share,294,0.0469
