Event Name,event_count,event_share_pct
af_content_view_product,133290,75.8584
af_add_to_cart,28410,16.1688
af_remove_from_cart,7556,4.3003
af_add_to_wishlist,5302,3.0175
af_remove_from_wishlist,1029,0.5856
af_share,122,0.0694
