mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_period,period_label,cart_add_per_100_views
125382,NCTWISH기획세트,과자,젤리류,11042,2406,13576.0,9493,1126,362,2025-04-24,2025-04 하순,11.8614
123101,G)오하요저지우유푸딩115g,디저트,젤리,6033,2048,7678.5,4842,870,182,2025-04-21,2025-04 하순,17.9678
124932,버터치킨카레덮밥,미반,도시락,4110,1629,5409.5,3278,673,82,2025-04-21,2025-04 하순,20.5308
990120,"모바일금액권 5,000원",기타,판촉물,3538,2218,4713.0,2916,583,26,2025-04-21,2025-04 하순,19.9931
125051,사천식마파두부덮밥,미반,도시락,3217,1376,4463.0,2461,646,54,2025-04-21,2025-04 하순,26.2495
125102,이장우)오일스타알리오올리오,면,용기면,2735,1097,3411.5,2150,420,55,2025-04-21,2025-04 하순,19.5349
123923,신동엽)블랙서클위스키700ml,양주와인,양주,3072,1175,3117.5,2945,4,93,2025-04-21,2025-04 하순,0.1358
014387,맛장우전주식비빔밥,미반,도시락,2135,878,2908.5,1604,439,26,2025-04-21,2025-04 하순,27.3691
125504,SEVENTEEN 5th Album ‘HAPPY BURSTDAY’ (일반반),미디어 상품,음반,2081,1844,2160.0,2023,39,10,2025-04-29,2025-04 하순,1.9278
192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인,와인,1815,512,2018.0,1658,85,59,2025-04-21,2025-04 하순,5.1267
114339,히밥)럭히밥김찌라면큰컵,면,용기면,1435,482,1905.0,1013,312,22,2025-04-21,2025-04 하순,30.7996
105887,롯데)맛장우맛자랑 전주식비빔밥,미반,도시락,1502,510,1809.0,1113,245,35,2025-04-21,2025-04 하순,22.0126
124530,최강록의간장들기름비빔밥,미반,도시락,1421,920,1681.5,1244,139,19,2025-04-21,2025-04 하순,11.1736
109055,G)크라시에유자셔벗140ml,아이스크림,고급,1340,762,1584.0,1115,130,58,2025-04-21,2025-04 하순,11.6592
105770,시원)후와토로리치생초콜릿40g,디저트,냉동디저트,1289,577,1579.0,976,202,36,2025-04-21,2025-04 하순,20.6967
125340,KBO)롯데자이언츠거인단팥빵100g,빵,간식빵,1407,623,1570.0,1190,0,199,2025-04-25,2025-04 하순,0.0
124534,4월 도시락 구독,,,980,528,1416.0,752,214,12,2025-04-21,2025-04 하순,28.4574
109131,신동엽)생드래프트비어500ml캔,맥주,국산맥주,1182,500,1401.0,1007,116,34,2025-04-21,2025-04 하순,11.5194
109497, 미쓰이)홋카이도우유크림모찌56g,디저트,냉동디저트,1150,484,1354.0,938,130,36,2025-04-21,2025-04 하순,13.8593
132159,농심)짜파게티큰사발,면,용기면,989,417,1312.0,647,242,13,2025-04-21,2025-04 하순,37.4034
192580,4월 와인 구독,,,1277,763,1291.5,1225,0,38,2025-04-21,2025-04 하순,0.0
014287,롯데)NEW참치마요네즈삼각,미반,삼각김밥,942,435,1220.0,635,214,12,2025-04-21,2025-04 하순,33.7008
123397,앙리마티스)와인볼(화이트)500ml캔,양주와인,하이볼,886,281,1121.0,700,115,49,2025-04-21,2025-04 하순,16.4286
125343,ITTA MAGAZINE TEMPEST ver,미디어 상품,잡지,819,140,1114.5,635,152,17,2025-04-21,2025-04 하순,23.937
108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인,와인,821,338,1028.0,682,98,31,2025-04-21,2025-04 하순,14.3695
132168,농심)육개장사발면,면,용기면,732,294,1019.5,438,211,10,2025-04-21,2025-04 하순,48.1735
124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵,간식빵,817,397,1009.0,625,123,28,2025-04-21,2025-04 하순,19.68
109020,농심)신라면툼바큰사발,면,용기면,717,250,986.0,442,198,9,2025-04-21,2025-04 하순,44.7964
013782,New모둠초밥정식,미반,초밥류,800,416,967.0,676,91,17,2025-04-21,2025-04 하순,13.4615
123552,롯데)7찬도시락,미반,도시락,794,284,952.0,555,153,8,2025-04-21,2025-04 하순,27.5676
109943,레드브레스트12년 700ml,양주와인,양주,688,319,885.0,562,104,9,2025-04-22,2025-04 하순,18.5053
107478,롯데)고기(肉)맥시멈도시락,미반,도시락,739,287,863.0,552,120,6,2025-04-21,2025-04 하순,21.7391
109496, 미쓰이)생초콜릿모찌40g,디저트,냉동디저트,701,345,855.0,519,110,26,2025-04-21,2025-04 하순,21.1946
