Event Name,event_count,event_share_pct
af_content_view_product,1216203,76.5566
af_add_to_cart,254216,16.0022
af_remove_from_cart,54197,3.4116
af_add_to_wishlist,51287,3.2284
af_remove_from_wishlist,12015,0.7563
af_share,714,0.0449
