event_month,mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_month,cart_add_per_100_views,prev_weighted_interest_score,prev_unique_users,score_delta_vs_prev_month,unique_users_delta_vs_prev_month
2025-05,125340,KBO)롯데자이언츠거인단팥빵100g,빵,간식빵,248803,29229,311777.0,203572,33271,6772,2025-05-01,16.3436,1570.0,623,310207.0,28606
2025-05,125435,KBO)롯데자이언츠씨앗호떡빵97g,빵,간식빵,127611,21126,163740.5,99877,18870,5368,2025-05-01,18.8932,594.0,285,163146.5,20841
2025-05,125469,PB)자이언츠육각꼬깔콘군옥수수맛134g,과자,스낵류,73181,14950,87214.0,60960,6582,4047,2025-05-01,10.7972,191.0,84,87023.0,14866
2025-05,125374,PB)자이언츠피카츄냐냐71g,과자,스낵류,56228,16433,67367.5,45947,6263,2211,2025-05-01,13.6309,699.0,309,66668.5,16124
2025-05,125468,PB)자이언츠육각꼬깔콘고소한맛134g,과자,스낵류,50788,11500,64249.5,39871,6290,3376,2025-05-01,15.7759,225.0,112,64024.5,11388
2025-05,191866,5월 와인 구독,,,21124,4342,26937.5,17780,2861,341,2025-05-01,16.0911,819.0,302,26118.5,4040
2025-05,191866,5월 와인 구독,,,21124,4342,26937.5,17780,2861,341,2025-05-01,16.0911,881.0,361,26056.5,3981
2025-05,210294,팔도)짬뽕왕뚜껑,면,용기면,10101,3181,13559.5,6648,2500,121,2025-05-01,37.6053,88.0,16,13471.5,3165
2025-05,210445,오뚜기)스파게티큰컵,면,용기면,6038,1788,8875.5,3925,1692,98,2025-05-01,43.1083,276.0,79,8599.5,1709
2025-05,125341,5월 도시락 구독(첫구독100원),,,5184,2268,8072.0,3666,1442,46,2025-05-01,39.3344,1.0,1,8071.0,2267
2025-05,105887,롯데)맛장우맛자랑 전주식비빔밥,미반,도시락,7359,1665,8749.0,5293,1292,118,2025-05-01,24.4096,700.0,246,8049.0,1419
2025-05,125341,5월 도시락 구독(첫구독100원),,,5184,2268,8072.0,3666,1442,46,2025-05-01,39.3344,1433.0,381,6639.0,1887
2025-05,192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인,와인,5585,1308,6580.0,4875,444,212,2025-05-01,9.1077,3.0,2,6577.0,1306
2025-05,105887,롯데)맛장우전주식비빔밥,미반,도시락,4550,1971,6731.5,3300,1104,87,2025-05-01,33.4545,700.0,246,6031.5,1725
2025-05,132835,PB)#대파열라면큰컵,면,용기면,4413,1306,6159.0,2995,1099,62,2025-05-01,36.6945,352.0,122,5807.0,1184
2025-05,125111,뚠뚠치킨&에그샌드,조리빵,샌드위치,4354,1248,5809.0,3168,914,54,2025-05-01,28.851,178.0,81,5631.0,1167
2025-05,210386,삼양)삼양라면큰컵,면,용기면,4250,1355,5583.0,2781,1034,45,2025-05-01,37.1809,23.0,10,5560.0,1345
2025-05,132835,PB)#대파열라면큰컵,면,용기면,4413,1306,6159.0,2995,1099,62,2025-05-01,36.6945,616.0,301,5543.0,1005
2025-05,124560,PB)박은영셰프의유산슬탕면큰컵,면,용기면,4644,1705,6011.0,3275,979,63,2025-05-01,29.8931,526.0,197,5485.0,1508
2025-05,108401,롯데)맛장우도시락 고기(肉)올인원,미반,도시락,4963,1485,6584.5,3450,1091,94,2025-05-01,31.6232,1521.0,504,5063.5,981
2025-05,124534,맛장우맛자랑 부대볶음,미반,도시락,3826,1437,4801.5,2971,635,48,2025-05-01,21.3733,5.0,2,4796.5,1435
2025-05,150143,하겐)컵딸기,아이스크림,고급,3158,1304,4824.5,2202,838,75,2025-05-01,38.0563,66.0,32,4758.5,1272
2025-05,123308,CJ)무항생제1등급계란10입,신선,수축산/계란,3643,943,4720.0,2725,693,47,2025-05-01,25.4312,65.0,20,4655.0,923
2025-05,105770,시원)후와토로리치생초콜릿40g,디저트,냉동디저트,10043,3596,12772.5,7465,1785,248,2025-05-01,23.9116,8152.5,2526,4620.0,1070
2025-05,132835,PB)#대파열라면큰컵,면,용기면,4413,1306,6159.0,2995,1099,62,2025-05-01,36.6945,1859.0,906,4300.0,400
2025-05,990263,"모바일금액권 10,000원",기타,판촉물,2817,1192,4543.0,1888,866,38,2025-05-01,45.8686,525.0,223,4018.0,969
2025-05,161188,코카)코카콜라제로500ml,음료,탄산음료,3963,1217,5897.0,2347,1260,42,2025-05-01,53.6856,1904.0,435,3993.0,782
2025-05,124340,G)LOOK초콜릿딸기복숭아46g,과자,초콜릿,3514,1306,4515.5,2501,653,138,2025-05-01,26.1096,603.0,243,3912.5,1063
2025-05,123767,"모바일금액권 50,000원",기타,판촉물,2755,1094,4466.5,1857,848,36,2025-05-01,45.6651,581.0,251,3885.5,843
2025-05,123629,G)LOOK초콜릿(네가지과일)44g,과자,초콜릿,3855,2077,4372.0,3289,347,86,2025-05-01,10.5503,652.0,211,3720.0,1866
2025-05,125161,최강록의진심)지파이,즉석 식품,즉석치킨(삭제예정),3344,2239,3600.0,3101,160,34,2025-05-01,5.1596,55.0,22,3545.0,2217
2025-05,123766,"모바일금액권 30,000원",기타,판촉물,2351,912,4000.0,1483,823,29,2025-05-01,55.4956,472.5,210,3527.5,702
2025-05,124533,롯데)맛장우맛자랑 부대볶음,미반,도시락,4875,1471,6588.5,3421,1074,104,2025-05-01,31.3943,3207.0,1125,3381.5,346
2025-05,123307,PB)착한콘칩65g,과자,스낵류,2524,747,3470.0,1734,600,42,2025-05-01,34.6021,99.0,32,3371.0,715
2025-05,125626,(3EA) SEVENTEEN 5th Album ‘HAPPY BURSTDAY’ (일반반),미디어 상품,음반,2773,1178,3754.0,2139,506,72,2025-05-01,23.6559,406.0,257,3348.0,921
2025-05,220530,CJ)작은햇반130g,가공식품,가공미반류,2523,848,3599.0,1740,653,10,2025-05-01,37.5287,293.0,65,3306.0,783
2025-05,150954,해태)부라보바닐라160ml,아이스크림,노벨티,2323,637,3391.0,1470,677,22,2025-05-01,46.0544,170.0,41,3221.0,596
2025-05,125444,히밥)럭히밥울트라면볶이(4인분),면,용기면,2700,866,3214.0,2267,273,92,2025-05-01,12.0423,4.0,2,3210.0,864
2025-05,118889,시원)후와토로리치피스타치오40g,디저트,냉동디저트,3417,1554,4204.0,2608,503,131,2025-05-01,19.2868,1075.0,429,3129.0,1125
2025-05,150487,하겐)컵벨지안쵸코렛,아이스크림,고급,1960,700,3137.0,1266,588,70,2025-05-04,46.4455,10.0,11,3127.0,689
2025-05,125416,자이언츠)마!비어라500ml캔,맥주,국산맥주,2671,1157,3111.5,1919,185,399,2025-05-01,9.6404,86.0,41,3025.5,1116
2025-05,150944,빙그레)메로나75ml,아이스크림,노벨티,2211,846,2943.0,1416,558,30,2025-05-01,39.4068,34.0,12,2909.0,834
2025-05,109496, 미쓰이)생초콜릿모찌40g,디저트,냉동디저트,6968,2805,8571.5,5332,1061,209,2025-05-01,19.8987,5792.0,2040,2779.5,765
