mapped_pos_item_code,mapped_item_name,category_l,category_m,lag_days,paired_days,total_searches,total_sales_qty,search_sales_qty_corr,user_sales_qty_corr
105729,11겹등심돈까스,미반,도시락,5,13,59,15,0.63863,0.30519
124291,일신)캇예스레인보우75g,과자,젤리류,13,74,463,3011,0.63758,0.64265
191572,롯데)일그리지오끼안티750ml,양주와인,와인,10,35,884,82,0.6373,0.64531
108365,우진)지오도라퀸타20/21 750ml,양주와인,와인,6,31,1143,111,0.63693,0.65222
124530,최강록의간장들기름비빔밥,미반,도시락,13,28,593,52,0.6348,0.64013
108364,우진)루첸테 750ml,양주와인,와인,5,33,6294,215,0.63461,0.63523
123618,렌틸콩유부초밥&에그샐러드,미반,초밥류,7,22,827,177,0.63215,0.6505
124511,우진)르볼테21/22 750ml,양주와인,와인,8,36,7132,149,0.63088,0.63381
124435,PB)바스켓팝콘,과자,스낵류,2,58,916,188,0.62977,0.69438
108357,아영)빌라안티노리끼안티클라시코750ml,양주와인,와인,3,65,2652,268,0.62689,0.62362
108364,우진)루첸테 750ml,양주와인,와인,13,25,5365,116,0.62513,0.62294
124317,롯데)파이열매73g,과자,비스킷류,10,69,364,2052,0.62211,0.60746
124291,일신)캇예스레인보우75g,과자,젤리류,11,76,468,3146,0.6221,0.62869
124291,일신)캇예스레인보우75g,과자,젤리류,3,84,493,3622,0.61713,0.60508
124489,안유성)나폴리탄파스타230g,간식,냉장피자,2,67,299,1944,0.61622,0.57903
108364,우진)루첸테 750ml,양주와인,와인,10,28,5761,137,0.61557,0.62866
124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵,간식빵,3,64,1307,10889,0.6095,0.6202
