mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_period,period_label,cart_add_per_100_views
123923,신동엽)블랙서클위스키700ml,양주와인,양주,30212,5563,31693.0,28549,652,730,2025-03-11,2025-03 중순,2.2838
123101,G)오하요저지우유푸딩115g,디저트,젤리,15613,4984,19048.0,13148,1687,535,2025-03-11,2025-03 중순,12.8308
124230,히비키 하모니,양주와인,양주,17331,2319,18985.5,15830,641,685,2025-03-11,2025-03 중순,4.0493
124228,야마자키 12년,양주와인,양주,8263,1184,8732.5,7690,141,349,2025-03-11,2025-03 중순,1.8336
123444,와일드 터키 지미 러셀  70주년 릴리즈,양주와인,양주,8288,1154,8541.5,7923,34,277,2025-03-11,2025-03 중순,0.4291
124227,야마자키 DR,양주와인,양주,7900,1250,8539.5,7178,198,427,2025-03-11,2025-03 중순,2.7584
123618,렌틸콩유부초밥&에그샐러드,미반,초밥류,6175,2429,8316.0,4522,1145,285,2025-03-11,2025-03 중순,25.3207
105770,시원)후와토로리치생초콜릿40g,디저트,냉동디저트,6636,3081,8045.0,5432,763,251,2025-03-11,2025-03 중순,14.0464
109496, 미쓰이)생초콜릿모찌40g,디저트,냉동디저트,6830,3537,7995.0,5701,675,240,2025-03-11,2025-03 중순,11.84
123504,닭가슴살스테이크도시락,미반,도시락,5460,2274,7036.5,4226,851,211,2025-03-11,2025-03 중순,20.1372
124229,하쿠슈 DR,양주와인,양주,6407,1054,6905.5,5854,142,341,2025-03-11,2025-03 중순,2.4257
109497, 미쓰이)홋카이도우유크림모찌56g,디저트,냉동디저트,4826,2143,5842.0,3963,519,221,2025-03-11,2025-03 중순,13.0961
014387,맛장우전주식비빔밥,미반,도시락,3499,1510,4655.0,2603,668,91,2025-03-11,2025-03 중순,25.6627
123619,홀그레인머스타드닭가슴살김밥,미반,김밥,2884,1156,3869.5,2018,538,188,2025-03-11,2025-03 중순,26.6601
108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인,와인,2457,839,3179.0,1950,350,112,2025-03-11,2025-03 중순,17.9487
191572,3월 와인 구독,,,3028,1007,3043.0,2954,1,49,2025-03-11,2025-03 중순,0.0339
123655,닭가슴살잡곡샌드,조리빵,샌드위치,2189,902,2944.5,1523,400,162,2025-03-11,2025-03 중순,26.264
124261,맥캘란 12년 셰리오크,양주와인,양주,2063,596,2528.5,1747,223,66,2025-03-17,2025-03 중순,12.7647
124254,맥캘란 18년 셰리오크,양주와인,양주,1823,457,2067.0,1623,113,63,2025-03-17,2025-03 중순,6.9624
123500,롯데)닭가슴살스테이크도시락,미반,도시락,1650,694,2006.0,1284,158,152,2025-03-11,2025-03 중순,12.3053
123601,롯데)렌틸콩유부초밥&에그샐러드,미반,초밥류,1637,715,1983.0,1291,153,142,2025-03-11,2025-03 중순,11.8513
014287,롯데)NEW참치마요네즈삼각,미반,삼각김밥,1590,823,1979.5,1135,299,34,2025-03-11,2025-03 중순,26.3436
123503,롯데)더커진닭가슴살잡곡밥삼각,미반,삼각김밥,1565,671,1903.0,1223,146,144,2025-03-11,2025-03 중순,11.9379
124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵,간식빵,1217,454,1885.0,802,304,94,2025-03-20,2025-03 중순,37.9052
834845,3월 도시락 구독,,,1424,784,1879.5,1176,221,22,2025-03-11,2025-03 중순,18.7925
052382,세븐카페)아메리카노(R),즉석음료,세븐카페,1107,495,1735.0,771,316,12,2025-03-11,2025-03 중순,40.9857
124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵,간식빵,1097,478,1582.0,760,217,97,2025-03-20,2025-03 중순,28.5526
105887,롯데)맛장우맛자랑 전주식비빔밥,미반,도시락,1226,477,1550.0,907,221,26,2025-03-11,2025-03 중순,24.366
124670,SF9화보매거진기획set,과자,젤리류,1114,295,1544.0,861,213,26,2025-03-11,2025-03 중순,24.7387
123502,롯데)홀그레인머스타드닭가슴살김밥,미반,김밥,1191,528,1535.0,873,143,136,2025-03-11,2025-03 중순,16.3803
109131,신동엽)생드래프트비어500ml캔,맥주,국산맥주,1250,591,1532.0,1001,165,40,2025-03-11,2025-03 중순,16.4835
124530,최강록의간장들기름비빔밥,미반,도시락,1055,461,1480.5,754,213,57,2025-03-15,2025-03 중순,28.2493
132168,농심)육개장사발면,면,용기면,1029,375,1453.0,630,298,10,2025-03-11,2025-03 중순,47.3016
013782,New모둠초밥정식,미반,초밥류,1151,577,1435.5,895,177,29,2025-03-11,2025-03 중순,19.7765
124340,G)LOOK초콜릿딸기복숭아46g,과자,초콜릿,1236,737,1430.0,1070,109,29,2025-03-11,2025-03 중순,10.1869
124677,KBO)삼립삼성라이온즈블루베리패스츄리100g,빵,간식빵,918,392,1397.0,584,217,93,2025-03-20,2025-03 중순,37.1575
012679,11찬 도시락,미반,도시락,1033,479,1380.0,794,195,15,2025-03-11,2025-03 중순,24.5592
601328, 7P)랑그드샤화이트초코70g,과자,비스킷류,1103,527,1338.0,830,160,47,2025-03-11,2025-03 중순,19.2771
105748,지비)귀달베르토750ml,양주와인,와인,1223,464,1310.0,1037,48,88,2025-03-11,2025-03 중순,4.6287
124082,PB)밀크딸기콘170ml,아이스크림,노벨티,1141,766,1301.5,976,102,27,2025-03-11,2025-03 중순,10.4508
