Event Name,event_count,event_share_pct
af_content_view_product,248508,80.5918
af_add_to_cart,36983,11.9937
af_add_to_wishlist,12190,3.9532
af_remove_from_cart,8312,2.6956
af_remove_from_wishlist,2163,0.7015
af_share,198,0.0642
