Event Name,event_count,event_share_pct
af_content_view_product,508701,75.3863
af_add_to_cart,108955,16.1465
af_remove_from_cart,31048,4.6011
af_add_to_wishlist,21542,3.1924
af_remove_from_wishlist,4201,0.6226
af_share,345,0.0511
