TOP_LABEL,ITEM_LRDV_NM,중분류_개수
0,H&B,8
1,가공식품,5
2,가정용품,8
3,간식,4
4,건강/기호식품,7
5,공병공박스,4
6,과자,7
7,기타,3
8,냉동,5
9,냉장,4
10,담배,4
11,디저트,6
12,맥주,5
13,면,2
14,문구/완구,9
15,미디어 상품,9
16,미반,6
17,미용/화장품,5
18,빵,6
19,서비스 상품,8
20,소모품,12
21,신문,3
22,신선,4
23,아이스크림,3
24,안주,7
25,약품/의료품,5
26,양주와인,5
27,완구_삭제예정,4
28,위생용품,4
29,유음료,9
30,음료,9
31,일용잡화,10
32,전통주,4
33,조리빵,3
34,조미료/건물,8
35,즉석 식품,4
36,즉석음료,5
37,커피/차,1
38,패션잡화,5
