TOP_LABEL,ITEM_LRDV_NM
0,H&B
1,가공식품
2,가정용품
3,간식
4,건강/기호식품
5,공병공박스
6,과자
7,기타
8,냉동
9,냉장
10,담배
11,디저트
12,맥주
13,면
14,문구/완구
15,미디어 상품
16,미반
17,미용/화장품
18,빵
19,서비스 상품
20,소모품
21,신문
22,신선
23,아이스크림
24,안주
25,약품/의료품
26,양주와인
27,완구_삭제예정
28,위생용품
29,유음료
30,음료
31,일용잡화
32,전통주
33,조리빵
34,조미료/건물
35,즉석 식품
36,즉석음료
37,커피/차
38,패션잡화
