Event Name,event_count,event_share_pct
af_content_view_product,203222,75.682
af_add_to_cart,43322,16.1336
af_remove_from_cart,11542,4.2984
af_add_to_wishlist,8641,3.218
af_remove_from_wishlist,1665,0.6201
af_share,129,0.048
