Event Name,event_count,event_share_pct
af_content_view_product,254290,79.5838
af_add_to_cart,43795,13.7063
af_add_to_wishlist,13352,4.1787
af_remove_from_cart,5726,1.792
af_remove_from_wishlist,2156,0.6748
af_share,206,0.0645
